year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Cluster_ID,Country name
2017,4.884,8.146,0.655,57.3,0.778,-0.131,0.763,0.599,0.382,13,Congo (Brazzaville)
2017,4.311,6.966,0.67,52.9,0.704,0.068,0.809,0.551,0.404,8,Congo (Kinshasa)
2017,7.225,9.858,0.922,71.1,0.936,-0.076,0.742,0.874,0.275,11,Costa Rica
2017,5.343,10.189,0.77,69.6,0.716,-0.104,0.892,0.655,0.316,11,Croatia
2017,6.062,10.539,0.819,73.5,0.812,0.043,0.851,0.784,0.301,2,Cyprus
2017,6.79,10.558,0.901,69.8,0.832,-0.177,0.867,0.739,0.227,11,Czech Republic
2017,7.594,10.916,0.952,72.1,0.955,0.155,0.181,0.824,0.206,1,Denmark
2017,5.605,9.725,0.894,65.5,0.855,-0.121,0.76,0.739,0.275,15,Dominican Republic
2017,5.84,9.36,0.849,68.2,0.879,-0.167,0.734,0.829,0.314,10,Ecuador
2017,6.339,9.042,0.829,65.8,0.758,-0.172,0.778,0.849,0.268,6,El Salvador
2017,5.938,10.429,0.936,68.4,0.862,-0.101,0.668,0.805,0.16,16,Estonia
2017,4.18,7.612,0.734,58.0,0.717,0.001,0.757,0.609,0.304,7,Ethiopia
2017,7.788,10.768,0.964,71.8,0.962,-0.002,0.192,0.787,0.176,1,Finland
2017,6.635,10.711,0.931,73.6,0.834,-0.123,0.601,0.762,0.242,2,France
2017,4.782,9.616,0.807,59.2,0.652,-0.228,0.868,0.634,0.446,0,Gabon
2017,4.118,7.637,0.697,54.7,0.812,0.111,0.572,0.838,0.277,9,Gambia
2017,4.451,9.517,0.59,64.7,0.821,-0.244,0.59,0.581,0.21,18,Georgia
2017,7.074,10.878,0.892,71.9,0.841,0.145,0.414,0.737,0.196,1,Germany
2017,5.481,8.517,0.669,56.8,0.783,0.079,0.839,0.703,0.248,13,Ghana
2017,5.148,10.278,0.753,72.2,0.438,-0.29,0.872,0.603,0.333,2,Greece
2017,6.325,9.026,0.826,64.5,0.915,-0.059,0.8,0.846,0.308,3,Guatemala
2017,4.874,7.792,0.634,53.3,0.738,0.038,0.75,0.704,0.422,8,Guinea
2017,3.824,7.475,0.647,55.5,0.484,0.381,0.647,0.573,0.322,9,Haiti
2017,6.02,8.624,0.843,67.0,0.898,0.072,0.783,0.842,0.248,6,Honduras
2017,6.065,10.293,0.877,67.2,0.661,-0.139,0.886,0.735,0.181,6,Hungary
2017,7.476,10.925,0.967,73.0,0.939,0.246,0.727,0.895,0.148,1,Iceland
2017,4.046,8.73,0.607,59.7,0.886,-0.042,0.781,0.682,0.318,0,India
2017,5.098,9.3,0.796,61.9,0.865,0.488,0.9,0.863,0.319,4,Indonesia
2017,4.717,9.584,0.714,65.7,0.731,0.218,0.715,0.694,0.439,15,Iran
2017,4.462,9.303,0.695,59.6,0.628,0.0,0.757,0.505,0.591,0,Iraq
2017,7.06,11.266,0.943,72.2,0.905,0.216,0.337,0.833,0.213,1,Ireland
2017,7.331,10.57,0.916,73.1,0.768,0.145,0.793,0.674,0.276,1,Israel
2017,6.199,10.64,0.92,73.4,0.633,-0.035,0.867,0.661,0.323,2,Italy
2017,5.038,8.483,0.661,48.9,0.732,-0.111,0.771,0.698,0.357,5,Ivory Coast
2017,5.89,9.169,0.913,67.1,0.861,-0.13,0.883,0.769,0.243,6,Jamaica
2017,5.911,10.618,0.882,74.9,0.849,-0.206,0.659,0.74,0.176,2,Japan
2017,5.882,10.121,0.914,64.0,0.745,-0.035,0.755,0.757,0.171,3,Kazakhstan
2017,4.476,8.306,0.715,59.5,0.853,0.234,0.854,0.788,0.23,0,Kenya
2017,5.63,8.526,0.883,63.8,0.859,0.143,0.874,0.755,0.16,3,Kyrgyzstan
2017,4.623,8.89,0.707,58.3,0.891,0.073,0.592,0.873,0.344,0,Laos
2017,5.978,10.257,0.895,66.5,0.7,-0.154,0.798,0.623,0.232,6,Latvia
2017,5.154,9.681,0.777,66.6,0.605,-0.074,0.911,0.515,0.244,6,Lebanon
2017,3.795,7.931,0.769,47.3,0.757,-0.145,0.797,0.746,0.255,5,Lesotho
2017,4.424,7.324,0.685,55.3,0.733,-0.012,0.867,0.668,0.391,9,Liberia
2017,5.647,9.491,0.823,62.3,0.779,-0.019,0.673,0.697,0.379,4,Libya
2017,6.273,10.429,0.926,66.7,0.749,-0.174,0.79,0.608,0.195,6,Lithuania
2017,7.061,11.634,0.905,72.6,0.903,0.044,0.33,0.766,0.184,1,Luxembourg
2017,4.079,7.368,0.626,58.7,0.57,-0.033,0.847,0.752,0.375,7,Madagascar
2017,3.417,6.945,0.555,56.9,0.848,0.025,0.735,0.609,0.312,7,Malawi
2017,4.742,7.718,0.741,51.2,0.753,-0.069,0.863,0.742,0.393,19,Mali
2017,6.676,10.635,0.937,72.2,0.924,0.253,0.69,0.721,0.302,1,Malta
2017,4.678,8.533,0.779,56.7,0.527,-0.153,0.777,0.637,0.272,13,Mauritania
2017,6.174,9.972,0.91,66.1,0.912,0.087,0.818,0.748,0.169,6,Mauritius
2017,6.41,9.893,0.8,68.0,0.861,-0.202,0.801,0.843,0.231,10,Mexico
2017,5.326,9.363,0.831,64.3,0.553,-0.053,0.926,0.581,0.259,18,Moldova
2017,5.334,9.334,0.924,62.1,0.675,0.119,0.865,0.675,0.214,4,Mongolia
2017,5.615,9.885,0.881,68.3,0.626,-0.083,0.756,0.519,0.35,10,Montenegro
2017,5.312,8.898,0.641,65.6,0.814,-0.216,0.841,0.559,0.323,15,Morocco
2017,4.28,7.157,0.678,53.2,0.823,-0.03,0.682,0.648,0.353,8,Mozambique
2017,4.154,8.464,0.795,58.7,0.886,0.65,0.619,0.746,0.282,0,Myanmar
2017,4.441,9.215,0.828,56.2,0.81,-0.19,0.831,0.721,0.277,13,Namibia
2017,4.737,8.039,0.816,62.4,0.845,0.134,0.77,0.571,0.376,4,Nepal
2017,7.459,10.921,0.937,72.2,0.92,0.25,0.363,0.852,0.185,1,Netherlands
2017,7.327,10.633,0.955,73.0,0.942,0.294,0.222,0.817,0.172,1,New Zealand
2017,6.476,8.7,0.838,67.2,0.922,0.01,0.673,0.85,0.308,6,Nicaragua
2017,4.616,7.058,0.582,53.0,0.684,-0.03,0.778,0.731,0.427,8,Niger
2017,5.322,8.555,0.733,49.3,0.826,0.124,0.835,0.725,0.236,5,Nigeria
2017,5.234,9.65,0.8,65.303,0.752,-0.059,0.856,0.502,0.299,15,Macedonia
2017,7.579,11.05,0.95,73.1,0.953,0.236,0.25,0.849,0.203,1,Norway
2017,5.831,8.428,0.69,58.1,0.713,0.045,0.714,0.586,0.308,13,Pakistan
2017,6.568,10.324,0.912,69.5,0.9,-0.17,0.841,0.833,0.242,11,Panama
2017,5.713,9.441,0.902,65.5,0.891,0.003,0.81,0.903,0.232,15,Paraguay
2017,5.711,9.434,0.83,67.8,0.827,-0.154,0.895,0.789,0.394,10,Peru
2017,5.594,9.002,0.851,61.8,0.926,-0.141,0.711,0.769,0.341,4,Philippines
2017,6.201,10.314,0.882,68.9,0.831,-0.122,0.639,0.677,0.203,16,Poland
2017,5.711,10.407,0.9,72.2,0.905,-0.176,0.881,0.649,0.294,2,Portugal
2017,6.09,10.211,0.811,66.9,0.839,-0.16,0.926,0.734,0.231,6,Romania
2017,5.579,10.166,0.896,63.9,0.731,-0.145,0.862,0.71,0.195,3,Russia
2017,3.108,7.588,0.517,60.5,0.908,0.051,0.214,0.762,0.358,0,Rwanda
2017,4.683,8.072,0.744,59.2,0.687,-0.044,0.825,0.746,0.291,0,Senegal
2017,5.122,9.713,0.884,67.8,0.685,-0.077,0.851,0.51,0.326,10,Republic of Serbia
2017,4.09,7.404,0.652,49.2,0.711,0.079,0.848,0.6,0.495,5,Sierra Leone
2017,6.378,11.461,0.897,76.5,0.926,0.136,0.162,0.8,0.179,14,Singapore
2017,6.366,10.339,0.913,68.6,0.714,-0.055,0.92,0.788,0.213,16,Slovakia
2017,6.167,10.509,0.928,70.8,0.921,-0.025,0.829,0.615,0.286,11,Slovenia
2017,4.514,9.45,0.87,56.1,0.787,-0.129,0.865,0.785,0.268,13,South Africa
2017,5.874,10.621,0.807,73.3,0.538,0.014,0.851,0.623,0.235,2,South Korea
2017,6.23,10.586,0.903,74.1,0.756,-0.032,0.791,0.625,0.302,2,Spain
2017,4.331,9.44,0.823,67.0,0.827,0.094,0.844,0.795,0.27,17,Sri Lanka
2017,7.287,10.873,0.914,72.5,0.935,0.17,0.239,0.814,0.175,1,Sweden
2017,7.474,11.115,0.95,73.8,0.925,0.18,0.316,0.774,0.196,1,Switzerland
2017,5.829,8.036,0.663,63.8,0.832,0.124,0.718,0.603,0.278,3,Tajikistan
2017,3.347,7.836,0.705,57.0,0.8,0.116,0.654,0.715,0.255,7,Tanzania
2017,5.939,9.765,0.877,67.0,0.923,0.212,0.884,0.816,0.232,6,Thailand
2017,4.361,7.324,0.508,54.3,0.717,-0.042,0.726,0.614,0.426,9,Togo
2017,6.192,10.183,0.916,63.5,0.859,0.015,0.911,0.846,0.248,3,Trinidad and Tobago
2017,4.124,9.269,0.717,66.6,0.478,-0.219,0.869,0.421,0.377,17,Tunisia
2017,5.607,10.238,0.876,66.4,0.644,-0.237,0.671,0.45,0.313,6,Turkey
2017,4.001,7.638,0.74,55.3,0.772,0.06,0.816,0.703,0.4,9,Uganda
2017,4.311,9.382,0.858,64.3,0.599,-0.002,0.937,0.597,0.235,18,Ukraine
2017,7.103,10.736,0.937,72.1,0.813,0.291,0.419,0.759,0.21,1,United Kingdom
2017,6.992,11.001,0.921,68.4,0.868,0.197,0.681,0.827,0.268,16,United States of America
2017,6.336,9.968,0.914,68.9,0.898,-0.091,0.627,0.836,0.28,16,Uruguay
2017,6.421,8.782,0.942,64.8,0.985,0.123,0.465,0.839,0.203,3,Uzbekistan
2017,5.071,9.073,0.896,66.3,0.636,-0.169,0.844,0.726,0.363,15,Venezuela
2017,3.933,8.156,0.744,54.8,0.823,0.14,0.74,0.685,0.387,9,Zambia
2017,3.638,8.016,0.754,55.0,0.753,-0.098,0.751,0.806,0.224,9,Zimbabwe
