,Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
84,North Macedonia,2013,5.186,9.541,0.832,64.942,0.641,0.025,0.861,0.578,0.331
85,Pakistan,2013,5.138,8.311,0.607,56.86,0.448,0.1,0.792,0.598,0.274
86,Panama,2013,6.866,10.184,0.896,68.9,0.811,0.018,0.814,0.869,0.226
87,Paraguay,2013,5.936,9.326,0.939,64.86,0.909,0.046,0.903,0.919,0.224
88,Peru,2013,5.783,9.369,0.797,66.84,0.703,-0.066,0.87,0.778,0.39
89,Philippines,2013,4.977,8.805,0.846,61.2,0.907,0.021,0.756,0.799,0.332
90,Poland,2013,5.746,10.164,0.912,67.78,0.776,-0.137,0.916,0.784,0.242
91,Portugal,2013,5.158,10.312,0.867,71.4,0.788,-0.118,0.946,0.7,0.348
92,Romania,2013,5.082,10.004,0.778,65.86,0.655,-0.129,0.952,0.64,0.329
93,Russia,2013,5.537,10.182,0.881,62.26,0.661,-0.289,0.934,0.68,0.18
94,Rwanda,2013,3.466,7.449,0.75,58.06,0.904,-0.028,0.117,0.76,0.167
95,Senegal,2013,3.647,7.926,0.823,57.48,0.636,-0.052,0.837,0.68,0.165
96,Serbia,2013,5.102,9.638,0.828,66.68,0.533,-0.1,0.908,0.529,0.403
97,Sierra Leone,2013,4.514,7.577,0.708,45.16,0.72,-0.071,0.856,0.521,0.423
98,Singapore,2013,6.533,11.357,0.808,75.46,0.827,0.115,0.242,0.77,0.148
99,Slovakia,2013,5.937,10.218,0.909,67.52,0.598,-0.051,0.915,0.698,0.277
100,Slovenia,2013,5.975,10.385,0.932,69.8,0.89,0.036,0.918,0.635,0.274
101,South Africa,2013,3.661,9.461,0.839,53.38,0.714,-0.077,0.8,0.773,0.167
102,South Korea,2013,5.959,10.52,0.797,72.18,0.642,-0.05,0.832,0.676,0.189
103,Spain,2013,6.15,10.476,0.929,73.26,0.759,-0.101,0.916,0.696,0.372
104,Sri Lanka,2013,4.365,9.305,0.809,66.4,0.834,0.268,0.842,0.86,0.208
105,Sweden,2013,7.434,10.804,0.916,72.14,0.936,0.159,0.324,0.829,0.184
106,Syria,2013,2.688,8.396,0.585,58.76,0.455,0.225,0.663,0.387,0.622
107,Tajikistan,2013,4.967,7.87,0.701,62.88,0.693,0.063,0.764,0.677,0.17
108,Tanzania,2013,3.852,7.699,0.803,54.52,0.654,0.054,0.859,0.738,0.191
109,Thailand,2013,6.231,9.667,0.926,66.16,0.781,0.456,0.925,0.846,0.141
110,Trinidad and Tobago,2013,6.168,10.285,0.883,62.82,0.847,0.128,0.948,0.833,0.286
111,Tunisia,2013,5.246,9.24,0.648,65.64,0.536,-0.207,0.886,0.517,0.239
112,Turkey,2013,4.888,10.091,0.795,65.12,0.541,-0.229,0.698,0.635,0.392
113,Uganda,2013,3.71,7.595,0.878,52.86,0.763,0.053,0.82,0.676,0.346
114,Ukraine,2013,4.711,9.438,0.897,63.1,0.569,-0.216,0.937,0.643,0.225
115,United Kingdom,2013,6.918,10.679,0.937,71.54,0.905,0.346,0.568,0.776,0.252
116,United States,2013,7.249,10.939,0.925,68.64,0.792,0.274,0.747,0.814,0.26
117,Uruguay,2013,6.444,9.904,0.917,68.42,0.888,-0.043,0.586,0.826,0.253
118,Uzbekistan,2013,5.94,8.607,0.963,63.8,0.95,-0.034,0.434,0.749,0.13
119,Venezuela,2013,6.553,9.739,0.896,65.82,0.642,-0.22,0.837,0.84,0.238
120,Vietnam,2013,5.023,8.668,0.759,66.98,0.92,-0.027,0.771,0.718,0.165
121,Yemen,2013,4.218,8.242,0.694,54.3,0.543,-0.179,0.885,0.558,0.266
122,Zambia,2013,5.244,8.131,0.761,52.32,0.77,-0.104,0.732,0.735,0.308
123,Zimbabwe,2013,4.69,7.985,0.799,50.96,0.576,-0.104,0.831,0.712,0.182
